id,type,label,n_tokens,total_text_len,mean_conf,min_conf,frac_conf_lt30,frac_conf_lt50,std_conf,n_latin_dates,n_arabic_date_tokens,n_valid_dates,n_distinct_years,year_span,chrono_violation,implausible_age,future_or_ancient,n_date_pairs_bad_order,has_dual_script,crossscript_year_mismatch_frac,crossscript_any_mismatch,name_weird_accent_ct,name_weird_accent_frac,n_latin_name_tokens,box_h_cv,box_h_max_over_med
c80afe70f7104669a08f08b3bad814a3,MAURITIUS/ID,1,15.0,180.0,0.9971536318461101,0.9622039794921875,0.0,0.0,0.009357658244339645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.041666666666666664,13.0,0.17830051140599604,1.3255813645213637
8d4e7011dbcb444c9fc7a893668c8cde,BENIN/DL,0,26.0,407.0,0.9267668331471773,0.0613531693816185,0.07692307692307693,0.07692307692307693,0.23218109322610467,3.0,0.0,3.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.26527919219906454,1.8648648144631133
5cf1aba046314aaea21b8ef5e5c9868a,BENIN/DL,0,27.0,397.0,0.9305943755639924,0.0613531693816185,0.07407407407407407,0.07407407407407407,0.22586306892235,3.0,0.0,3.0,3.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.26815362040855106,1.9166666134259276
f6ffe80b02fc4ed6b6c2e1cef523c77c,EGYPT/DL,1,38.0,342.0,0.8644349590325967,0.0,0.02564102564102564,0.10256410256410256,0.22331484486503753,3.0,3.0,3.0,3.0,39.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,0.21924337711626488,1.5208333016493063
75862716fb8e46838aaabec933b632f2,GUINEA/DL,0,18.0,324.0,0.9659972886244456,0.5537589192390442,0.0,0.0,0.10146694267302606,2.0,0.0,2.0,2.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.42801730882209377,3.0227272040289273
af8c2f7952da414c8d6307a257165180,MAURITIUS/ID,0,16.0,179.0,0.9648916814476252,0.44536152482032776,0.0,0.0625,0.1341445345229692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.04285714285714286,13.0,0.17279650612390685,1.3647058502422154
3a68159a866443bfaa465780dfa95fed,GUINEA/DL,1,15.0,337.0,0.9927441954612732,0.9545259475708008,0.0,0.0,0.013712923318982365,2.0,0.0,2.0,2.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.2268658224132713,1.6363635991735546
8e4ed9de2be74ff8950545de1747fb84,EGYPT/DL,1,39.0,306.0,0.8530047601316033,0.0,0.04878048780487805,0.07317073170731707,0.23859987423978812,3.0,0.0,3.0,3.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.21078149787122546,1.4199999716000007
1f8b678460d344109ed95c0fb27c9910,MOZAMBIQUE/DL,1,39.0,510.0,0.992517569126227,0.9515248537063599,0.0,0.0,0.013506607643939947,3.0,0.0,3.0,3.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.4109253395458404,3.8499998075000095
4bc490c735d04ee88f79442642843837,BENIN/DL,0,26.0,430.0,0.922501031595927,0.07287828624248505,0.07692307692307693,0.07692307692307693,0.23261658332321214,3.0,0.0,3.0,3.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.26632117941893846,1.8648648144631133
